? Terminal Mem<0>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<10>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<11>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<12>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<13>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<14>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<15>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<1>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<2>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<3>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<4>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<5>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<6>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<7>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<8>'s type in the layout: inputOutput, in the schematic: output
? Terminal Mem<9>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<0>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<10>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<11>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<12>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<13>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<14>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<15>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<1>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<2>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<3>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<4>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<5>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<6>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<7>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<8>'s type in the layout: inputOutput, in the schematic: output
? Terminal NOR<9>'s type in the layout: inputOutput, in the schematic: output
