? Terminal RBL_out<0>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<10>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<11>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<12>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<13>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<14>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<15>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<1>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<2>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<3>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<4>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<5>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<6>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<7>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<8>'s type in the schematic: output, in the layout: inputOutput
? Terminal RBL_out<9>'s type in the schematic: output, in the layout: inputOutput
